Name,Star Rating,Sentiment,Culture,Filtered Pros
IBM,5.0,good,,Good environment  Growth Mindset  Learning Opportunities  Career Paths  Internal Jobs Opportunities  sense belonging  inclusive teams 
IBM,5.0,good,,Loved time working IBM  friendly helpful people 
IBM,5.0,good,good_culture,IBM innovative company planet  feel proud part technology company helped landing man moon  depth knowledge deep vast get IBM  feel like entering global University  Unlimited learning huge opportunities  culture amazing  work content always satisfying never stagnation  keep rotating different jobs within company  digital age  contribution IBM key society  advent Quantum computing IBM  promise invest 20Bil next 10 years amazing  sure leading technology world  transforming future generations  see 100 years IBM  journey  company sustained many market disruptions  reinvented many times stood solid throughout  look back long career IBM  feel yesterday  proud part great company  Long live IBM 
IBM,4.0,good,, Profit sharing  corporate Telco plan  corporate Samsung apple plan  annual health checkup  insurance dependents  ability buy additional annual leaves credits  primary work location  MBFC  colleagues staff helpful  allocates 40 hours learning every year  life long learning staying relevant 
IBM,5.0,good,good_culture,Family like culture  work life balance  hybrid working location  Management focused problem solving finger pointing 
IBM,4.0,good,good_culture,good work culture iBM
IBM,4.0,good,,Great place skill consultative selling enterprise software 
IBM,2.0,bad,,Lots training materials learn
IBM,4.0,good,,worklife balance additional pressure management
IBM,3.0,neutral,,job stability  security  reputation  controls
IBM,5.0,good,good_culture, thought IBM oldschool  traditional  unattractive  joined almost 15 years  loved place  many things learn  handson advanced technology market open new joiner like share   IBM culture also perfect  help openmind  coaching mentoring   Chance explore new things wanted explore  boss also open discussion argue different opinions   Compensation benefit fair good   strategy management clear  one reasons chose IBM hybrid cloud strategy 
IBM,1.0,bad,,Flexi hours  medical benefits  many things learn 
IBM,5.0,good,,gives best work life balance
IBM,4.0,good,good_culture,Mnc culture great
IBM,3.0,neutral,,Good working environment Helpful colleagues
IBM,5.0,good,,Long standing company focus inclusive diversity  innovation research 
IBM,1.0,bad,,Job security Self paced trainings  upskilling opportunities
IBM,4.0,good,,Respect colleagues Work life balance
IBM,3.0,neutral,,Work flexible  work home
IBM,4.0,good,,Good place fresh graduates begin sales career tech
IBM,5.0,good,,Great learning experience  growth opportunities  good collegues
IBM,4.0,good,,Loads free courses certifications
IBM,5.0,good,,Clear communication management Key Performance Indicators  Teamwork Focus Job Training Flexibility  focus results operational process clearly defined
IBM,5.0,good,,Great Learning platform portfolios Lot learning tools provided upskill competent Self learning phase access learning platform like Udemy etc 
IBM,1.0,bad,, MBFC office great place work  Incredible training upskilling program
IBM,5.0,good,good_culture,Great culture  lots learning opportunities projects
IBM,5.0,good,,great company work
IBM,5.0,good,good_culture, great working culture  opportunities advance career  supportive leadership
IBM,5.0,good,,would like platform gain knowledge advanced technologies internally talks  online learning  virtual learning well nice colleagues willing share experience  place   worklife balance 
IBM,4.0,good,,great colleagues work
IBM,3.0,neutral,,work home sometimes
IBM,4.0,good,,good management philosphy  lot learning
IBM,1.0,bad,bad_culture,Flexible work arrangements Learning pros
IBM,4.0,good,,permanent hybrid work arrangement  available platform speak  opportunity express share  engagement  freedom work independently take action accountdecision  micromanagement organization
IBM,2.0,bad,,Nothing  ur management level opinion might dif
IBM,5.0,good,,Great learning  wonderful set projects  wonderful cross cultural experience  travel exotic destinations
IBM,4.0,good,, Great place learn variety topics  Amazing people work  Geographic spread reach presents good mobility opportunities
IBM,1.0,bad,,Salary Manager awesome Immediate colleagues fantastic
IBM,5.0,good,,Fair  lots support  room shine
IBM,1.0,bad,, Worklife balance moderately alright  ultimately depends project  
IBM,5.0,good,good_culture,1  Inclusive culture  best despite different 2  Innovation makes company keeps inventing 3  Great people work  secret IBMer 
IBM,1.0,bad,,worked IBM 20 years
IBM,5.0,good,,Large Mnc  comfortable environment  Clean nice
IBM,5.0,good,,Good environment work continuously
IBM,4.0,good,,Flexible  Great People Harmony Culture
IBM,1.0,bad,,interview well conducted relevant questions skills experience
IBM,4.0,good,,good environment slower pace 
IBM,4.0,good,,Good word IBM CV
IBM,4.0,good,, Work life balance  leave  medical benefit
IBM,4.0,good,,learning growth good aspects
IBM,4.0,good,,Applicable NA Nothing NA
IBM,4.0,good,,Lots learning opportunities managers willing spend time educate 
IBM,5.0,good,,Matured  structured organisation  great suite product  solutions  Partner network strong 
IBM,5.0,good,,Good bosses grow
IBM,3.0,neutral,,Community  support  tools techniques
IBM,5.0,good,,Best work place work home
IBM,4.0,good,,Professional guidance given  seniors respect outof hours time
IBM,5.0,good,,technology industry always transforming  IBM  able continue keep times upskilling  1  selfpaced elearning  2  gained exposure job shadowing mentors  3  experience job immersion job rotation  get learn become better version every day  working passionate people shares live IBM values 
IBM,4.0,good,,Happy Motivating environment flourish 
IBM,3.0,neutral,,Good payout Relatively better work life balance Good people
IBM,5.0,good,good_culture,great company unwavering focus improving skills employees  IBM  everyone chance learn  improve  upgrade skills  fosters culture high performance employees addicted constant neverending self improvement 
IBM,5.0,good,,Best company ever singapore
IBM,3.0,neutral,,Working hour flexibility  Good entry level
IBM,5.0,good,,good per industry
IBM,1.0,bad,,Free training company portal  time actually go 
IBM,5.0,good,good_culture,Homely culture  Friendly people good team spirit  Manager micro manage 
IBM,5.0,good,,Amazing place work  unlimited opportunities
IBM,3.0,neutral,,People nice kind
IBM,5.0,good,,Engaging healthy work environment Technical Leader Technology good Learning  Development Innovation Flexibility Growth
IBM,5.0,good,,End End Employee lifecycle  Perfect Great angles Great firm work
IBM,5.0,good,,Good company good propsects
IBM,4.0,good,,Managers CoWorkers highly skilled always willing help 
IBM,5.0,good,,company transformation tremendous focus prioritization upskilling significant investment  time  fantastic online content across different businesses functional areas  Strong ethics top comfortable right thing even difficult choice 
IBM,3.0,neutral,,Good experienced people Process structured
IBM,2.0,bad,,Negotiable pay package requested
IBM,3.0,neutral,,get lot global exposure
IBM,5.0,good,,work home default pandemic Free employee Trainings Employee discounts
IBM,3.0,neutral,,Good environment pick knowledge  Salary meets industry average high low 
IBM,3.0,neutral,bad_culture,want place wo nt grow much  would push much  place  Steadystate affairs pretty dull unexciting  s thing 
IBM,5.0,good,,Great company work  willing move take new challenges  IBM give opportunity 
IBM,4.0,good,,Credibility  Large Enterprises  Global  Well Known
IBM,5.0,good,,Global Exposure Great peer community learning
IBM,3.0,neutral,,lot mention least friendly colleagues 
IBM,4.0,good,,Good local management colleagues 
IBM,5.0,good,,Management  leadership changes inevitable  reorgs  change evolution
IBM,4.0,good,,flexible work arrangements evident leadership departments
IBM,3.0,neutral,,Flexible hybrid Working environment 
IBM,4.0,good,,Flexibility  Support managers  Focus developing skills 
