Name,Star Rating,Sentiment,Culture,Filtered Pros
Microsoft,5.0,good,good_culture,Strong culture respect among employees colleagues
Microsoft,4.0,good,,WLB good low pay
Microsoft,5.0,good,, cultrure good
Microsoft,5.0,good,,Good company
Microsoft,4.0,good,,Good Culture  Compensation  strategy  career roadmap  products
Microsoft,3.0,neutral,bad_culture,one best employees  benefits town 
Microsoft,5.0,good,,Inclusive Understanding
Microsoft,3.0,neutral,,Great community  connections  perks  Office beautiful 
Microsoft,4.0,good,,Work life balance  flexible work arrangement
Microsoft,5.0,good,,Good work environment supportive team
Microsoft,3.0,neutral,,Talented people  good work life balance
Microsoft,5.0,good,good_culture,culture  benefits learning opportunities great 
Microsoft,4.0,good,,great worklife balance
Microsoft,4.0,good,good_culture,Open  respectful transparent culture
Microsoft,5.0,good,good_culture,Good culture great people
Microsoft,3.0,neutral,,Good benefits  International colleagues  Nice office location
Microsoft,5.0,good,good_culture,good culture product good life  work balance
Microsoft,4.0,good,,Great experience till date 
Microsoft,4.0,good,,Great company  get learn lot 
Microsoft,5.0,good,,Culture Quality work Benefits
Microsoft,5.0,good,,great work life balance  nice supervisor  great team mates  happy working life
Microsoft,5.0,good,, Good salary  Hybrid working  Employees always motivated think differently
Microsoft,4.0,good,good_culture,Worklife balance culture great
Microsoft,4.0,good,,Top tech brands good beneficial programs 
Microsoft,4.0,good,good_culture,Work life balance culture
Microsoft,5.0,good,,Amazing amazing amazing amazing amazing
Microsoft,4.0,good,,Great place start grow career
Microsoft,2.0,bad,,Good money Good protects Good Teamwork Racist people also homophobic really liked almost evrybody voted Trump good
Microsoft,5.0,good,,perfect  amazing experiences good WLB 
Microsoft,3.0,neutral,,standardized development process
Microsoft,5.0,good,good_culture,open culture  inclusive  diversity
Microsoft,4.0,good,,Work life balance workmates nice deal
Microsoft,5.0,good,,work life balence salary ok
Microsoft,4.0,good,,Good work life balance Decent employment benefit
Microsoft,5.0,good,,Work life balance Work home
Microsoft,5.0,good,,good working colleagues around daily
Microsoft,5.0,good,,Excellent Flexibility  Great colleagues  Open Culture
Microsoft,5.0,good,good_culture,good company work life balance Excellent culture Growth Mindset approach Good company new employee
Microsoft,4.0,good,, Good people work  Lots talent  everyone available help
Microsoft,5.0,good,,Good worklife balance  good colleagues
Microsoft,1.0,bad,,NA decent salary freedon company
Microsoft,5.0,good,good_culture,Great culture  Supportive work environment 
Microsoft,5.0,good,,1  Employee centric 2  clear mission 3  Worklife balance 4  Flexibility 5  Infinite learning opportunities 6  Internal mobility
Microsoft,3.0,neutral,,flexible working hours encourage staff work life balance
Microsoft,5.0,good,,Fun work great team
Microsoft,5.0,good,,Insurance medical  time  flex working hours
Microsoft,5.0,good,good_culture,good environment good culture
Microsoft,3.0,neutral,,much pressure work  give pressure
Microsoft,3.0,neutral,,Goodplace work IC
Microsoft,4.0,good,,Full smart people  benefits really good
Microsoft,5.0,good,,loving
Microsoft,5.0,good,good_culture,Amazing work culture  Supportive environment
Microsoft,2.0,bad,,branding good get discovered
Microsoft,4.0,good,,good benefit good people good coe
Microsoft,5.0,good,,Lots opportunities pay good
Microsoft,5.0,good,,Diversity Inclusion atmosphere  Competitive payment  Challenge work items 
Microsoft,3.0,neutral,,big company best people working aroung
Microsoft,5.0,good,,Benefit par market
Microsoft,3.0,neutral,,work life balanced  space grow career
Microsoft,4.0,good,,None end 
Microsoft,4.0,good,,WLB  sources time learning
Microsoft,1.0,bad,,Pros Pros Pros Pros Pros
Microsoft,4.0,good,,good company grow entrylevel
Microsoft,5.0,good,,Amazing experience Microsoft thanks
Microsoft,5.0,good,good_culture,Great culture  perks collaboration
Microsoft,4.0,good,,nice people many free food 
Microsoft,4.0,good,,good work life balance
Microsoft,5.0,good,,Good comapny  respect  nice  happy  boss
Microsoft,5.0,good,,Work leading clients Growth Mindset Flexible work life balance
Microsoft,5.0,good,,Good products great
Microsoft,5.0,good,,Really focused people Fills sense wonderment
Microsoft,5.0,good,,Build useful apps end users
Microsoft,5.0,good,good_culture,Top people  culture  place
Microsoft,3.0,neutral,,respect  inclusive  diversity  work life balance
Microsoft,4.0,good,,great people around
Microsoft,4.0,good,good_culture,Work life balance great culture
Microsoft,4.0,good,,Great team  boss colleagues
Microsoft,5.0,good,,work life balance bad
Microsoft,5.0,good,,Working best talents  Continuous learning growth mindset 
Microsoft,5.0,good,good_culture,company culture friendly like much 
Microsoft,4.0,good,,work life balance wonderful
Microsoft,5.0,good,,good place work build Carrer
Microsoft,5.0,good,,Work life balance Good environment
Microsoft,4.0,good,, Good working environment  able learn new skill
Microsoft,5.0,good,,humane company worked  makes sure staff wellfed adequate rest  nt underpay  superiors nice staff 
Microsoft,5.0,good,good_culture,understanding open culture
Microsoft,4.0,good,,Good good good good good
Microsoft,4.0,good,,Decent pay  good benefits  flexibility work home
Microsoft,4.0,good,,Work life balance  work home  good benefit
Microsoft,5.0,good,,Challenging work great opportunities learning  Flexible work arrangement
Microsoft,4.0,good,,High pay Flexible schedule Interesting experience Product knowledge
Microsoft,5.0,good,bad_culture,Collaborative thinking  inclusive lots learning
Microsoft,5.0,good,,Good WLB perks  colleagues usually nice
Microsoft,5.0,good,,  Flexibility  Learning growth  work life balance 
Microsoft,4.0,good,good_culture,Great culture  good benefits  nice office dynamic environment
Microsoft,5.0,good,,good company  Job security
Microsoft,5.0,good,good_culture,relaxing culture  abundant benefitssnacks  various event
Microsoft,4.0,good,good_culture,Flexible  good culture  stock award
Microsoft,5.0,good,,Stock option given
Microsoft,4.0,good,,Great team  Lots opportunities learn people around 
Microsoft,4.0,good,,good pay competitive salary benefits good human resources
Microsoft,5.0,good,,Products great  line manager great
Microsoft,3.0,neutral,,Comfortable environment Easy work Good pantry
Microsoft,5.0,good,,Inclusive  work life balance better developing mindset
Microsoft,5.0,good,,positive  good environment  career growth
Microsoft,5.0,good,,applicable section form
Microsoft,3.0,neutral,,Microsoft big company
Microsoft,5.0,good,,Good people working environment
Microsoft,5.0,good,,Work life balance  flexibility  accessibility  diversity inclusion
Microsoft,5.0,good,good_culture,great culture  feel re forefront tech
Microsoft,5.0,good,,work life balance good benefit 
Microsoft,4.0,good,,Benefits perks  Awesome team members  Leadership People respectful 
Microsoft,4.0,good,,Great company nice people
Microsoft,4.0,good,good_culture,Good environment  culture teammates
Microsoft,4.0,good,,Good global company perks
Microsoft,4.0,good,,good far  happy work 
Microsoft,3.0,neutral,,Structured predictable matrix company
Microsoft,5.0,good,,work life balance  grow fast  promotion fast
Microsoft,5.0,good,good_culture,good working experience work culture 
Microsoft,5.0,good,,diversity great benefit  great career advancement
Microsoft,5.0,good,good_culture,Excellent culture Great people Pay well work challenging
Microsoft,5.0,good,good_culture,Great culture  lot focus growth mindset collaborations achieve business objectives 
Microsoft,5.0,good,,Getting travel bonuses
Microsoft,5.0,good,good_culture,Great culture focus 
Microsoft,5.0,good,,office looks quite nice
Microsoft,5.0,good,,good worklifebalance good working environment  stock price
Microsoft,3.0,neutral,,Brand name enterprise ready  lot products sell rich partner ecosystems  Benefits generally great slight market
Microsoft,5.0,good,,Work life balance  sexual diverse
Microsoft,4.0,good,good_culture,Challenging work done flat culture
Microsoft,3.0,neutral,,Lots benefits  good office
Microsoft,3.0,neutral,,Lots welfare benefits  friendly colleagues
Microsoft,5.0,good,,Talks lot diversity inclusive
Microsoft,5.0,good,,Good organization build breadth depth experience  Fantastic platform  solutions  technology 
Microsoft,3.0,neutral,,Excellent benefits work environment
Microsoft,5.0,good,,Company trajectory looking great Smart coworkers enable good thinking  Good work life balance decent benefits
Microsoft,1.0,bad,,Stable company  Good enterprise products  good benefits  global mobility  strong brand  leads trust  transparency customer
Microsoft,5.0,good,,Great Culture Great Corp Leadership Good Benefits
Microsoft,4.0,good,, alot room growth  full talented people  great work location
Microsoft,4.0,good,good_culture,Benefits great  supportive culture  lots learning flexibility
Microsoft,5.0,good,,Flex work hours  vision company
Microsoft,4.0,good,,Exciting growing company
Microsoft,4.0,good,,Security job work colleagues
Microsoft,4.0,good,,Good opportunities grow develop 
Microsoft,4.0,good,,Culture Brand CEO Business Model Sales Org structure comp plans
Microsoft,4.0,good,,Generally good company work
Microsoft,4.0,good,,flexible workplace arrangement worklife balance
Microsoft,5.0,good,,good location nice office
Microsoft,5.0,good,,good working conditions  nice co workers
Microsoft,4.0,good,,Respect diversity  appreciate integrity take accountability  Promote encourage learning 
Microsoft,4.0,good,good_culture,Good culture good benefits
Microsoft,5.0,good,,good environment responsible management system
Microsoft,5.0,good,,respectful  diverse  intelligent people  autonomy
Microsoft,5.0,good,good_culture,Flexible Open working culture
Microsoft,4.0,good,,work life balance  good management
Microsoft,3.0,neutral,,lot learning opportunities
Microsoft,3.0,neutral,good_culture,Good company culture  great office  good learning growing scope
Microsoft,4.0,good,good_culture,Awesome culture Growth mindset  employee friendly
Microsoft,4.0,good,good_culture,Love fail fast learn fast culture  make responsibility grow career 
Microsoft,5.0,good,,Great benefit  great leader  great colleagues
Microsoft,5.0,good,,Great great great great great
Microsoft,5.0,good,,Culture Work Life Balance
Microsoft,5.0,good,,Good  training overall good learning
Microsoft,4.0,good,,Good learning opportunities beginner
Microsoft,3.0,neutral,,Interesting  engaging work  smart people  dynamic environment
Microsoft,5.0,good,,Excellent challenging work environment grow learn
Microsoft,5.0,good,,Microsoft perfect place work 
Microsoft,5.0,good,good_culture,Good combination benefits  development opportunities  conducive culture Solid business  strong brand  sound strategy  pandemicproof
Microsoft,5.0,good,good_culture,Open culture  great working environment
Microsoft,4.0,good,,Empowerment employees  encourage speak
Microsoft,5.0,good,good_culture,good compensation  nice colleagues  awesome culture
Microsoft,5.0,good,,Flexible working hours  Pantry full healthy snacks
Microsoft,5.0,good,good_culture,Awesome culture  wonderful colleagues  Inspiration growth
Microsoft,5.0,good,,Lots automony opportunities learn orchestrate implementation technology 
Microsoft,5.0,good,good_culture,Diversity  workculture  skills driven  Benefits assistance
Microsoft,4.0,good,,Strong future ahead  Worth personal investment
Microsoft,5.0,good,,Culture  Culture  Culture   amazing opportunities latest technologies drive digital transformation  really driving change
Microsoft,5.0,good,,Great company work
Microsoft,5.0,good,good_culture,Learning culture strong among many
Microsoft,5.0,good,good_culture,autonomy positive culture  collaborative environment
Microsoft,5.0,good,, WorkLife Balance  Flexibility work  Good perks  Good Base Pay  Great Culture  Diversity Inclusion  Warm Welcome environment
Microsoft,5.0,good,,good staff benefits colleagues
Microsoft,5.0,good,,worklife balance  tech good  diversity good
Microsoft,3.0,neutral,,Good pantry nice office view
Microsoft,4.0,good,,Friendly  nice environmen  nice office  easy commute 
Microsoft,5.0,good,,s large corporation long history  recent years rise  terms market share stock price  atmosphere also changed better new CEO  Satya Nadella  company navigating coronavirus crisis well  another encouraging sign 
Microsoft,5.0,good,,Work flexibility great benefit
Microsoft,5.0,good,,invest heavily growth
Microsoft,3.0,neutral,,Great people work
Microsoft,5.0,good,,great opportunities innovation technology focus
Microsoft,5.0,good,,wonderful place work
Microsoft,4.0,good,,One best worklife balance around
Microsoft,3.0,neutral,,Flexible working hours  excellent benefits
Microsoft,5.0,good,good_culture,company really great culture
