Name,Star Rating,Sentiment,Culture,Filtered Pros
NCS,4.0,good,, Supportive Colleagues  working enviornment  Enthusiasm employees deliver  Manager involves multiple roles nurture talent
NCS,5.0,good,,Many benefits related insurance  internet flexi bonus  professional friendly team  request access many training courses related job 
NCS,2.0,bad,,Direct managers colleagues kind helpful people  Beautiful workplace bistro  canteen  huge gym  yoga room  bbq pits  work  complains  go home  OT  work nonstop 
NCS,3.0,neutral,,Project dependent  project assigned  little welfare provided  colleagues nice people    remunerations provided working overtime even though ones caused issues  treated  2nd class citizens   vendors  clientsite 
NCS,4.0,good,,company take care staff welfare eg  health package  mentor nominee program  zoom session motivation talk  online courses  Broadcast customer complements  motivate team
NCS,4.0,good,, Big organization  friendly employees  always open help
NCS,3.0,neutral,,Good learn new things willing learn grow  SOP based environment 
NCS,4.0,good,,company implemented good initiatives improving employee benefits worklife balance since easing COVID19 restrictions  Employee benefits relatively ok  group medical plan well Singtel staff discount mobile plans 
NCS,4.0,good,good_culture,1  Current leadership fantastic job  s easy redesign  reshape transform company s culture steps re taking certainly right direction  needed time  2  Plenty traininglearning opportunities  ve benefited many learnt much  sharing senior practitioners always cordial  honest open  something greatly appreciate  3  Newly redesigned career pathways refreshing provide flexibility  especially people desire crosstrained simply want alternative career paths ie  technical  commercial  project leadership etc  4  Good staff benefits terms additional nonpaid leaves  good telco discounts medical coverage  5  Great people work  Possible make close friends great working acquaintances  
NCS,4.0,good,,Good benefits  friendly staff  concern career pathways
NCS,4.0,good,, Nice superiors provide opportunitiesexposures proactive  willing learn independent enough cando attitude  environment politics  Company made adjustment base pay according market rates
NCS,5.0,good,,Good HR policies  Many project opportunities  Management cares employees 
NCS,3.0,neutral,,Learn lot micro management
NCS,5.0,good,,Good learning opportunities terms coursescertifications provided via NCS Dojo Many ways learn apply knowledge via projects given  leading technology services firm 
NCS,5.0,good,,Good Leadership management 
NCS,4.0,good,,Slow pace  good work life balance
NCS,5.0,good,,new CEO  sense leadership trying best make connection us fields  different led previous CEO 
NCS,4.0,good,,graduate program offers many certifications bond  Good experience upskilling 
NCS,4.0,good,,Project based fully immersed one project one time A lot training resources provided Selfmanaged effort time
NCS,3.0,neutral,,service provider  part whole delivery cycle  good place learn 
NCS,4.0,good,good_culture,Transforming  going right trajectory  Beautiful office renovated great gym  Good culture people work closely together  cross business units achieve goals 
NCS,5.0,good,,good learning experience new joiners
NCS,4.0,good,,work manageable  go home time
NCS,4.0,good,,provides good wirklife balance good managers 
NCS,3.0,neutral,good_culture, Rebranding culture applaudable effort  Nice facilities  Growth Mindset possible
NCS,2.0,bad,, office politics  bunch good collogues
NCS,4.0,good,,Great working environment hub  always based  happy come back see facilities 
NCS,5.0,good,,Good leave days welfare
NCS,3.0,neutral,,Decent company normal benefits 
NCS,4.0,good,good_culture,Good culture boss  Little ot
NCS,3.0,neutral,good_culture,Good start freshers  lots learning opportunity  good work culture team
NCS,4.0,good,,Flexible  opportunities  great team  leadership
NCS,5.0,good,,Met really nice colleagues others toxic
NCS,3.0,neutral,,Lot opportunities explore
NCS,1.0,bad,,get Learning opportunities
NCS,4.0,good,,Projects challenging team members helpful  lot training internal process 
NCS,3.0,neutral,,Broad learning Explore new things Performance bonus stable job Continuous work
NCS,3.0,neutral,,salary overal market rate
NCS,5.0,good,,lot exciting changes happening last 12 years 
NCS,5.0,good,good_culture,Nice culture employee centric work life balance
NCS,2.0,bad,bad_culture,company embarking transformation journey  although nowhere near GoogleFacebook level 
NCS,3.0,neutral,,Provide good structured training fresh grads  large company lot opportunities 
NCS,3.0,neutral,,Good fresh grads work 12 years since increment low
NCS,3.0,neutral,,background data engineering managed learn job  Pay decent free master  programme 
NCS,4.0,good,, Supportive Colleagues  working enviornment  Enthusiasm employees deliver  Manager involves multiple roles nurture talent
NCS,2.0,bad,,got work new project uses uptodate technologies implementation  NodeJS  Java  Spring Boot   AWS  microservices  good practices  testdriven development  CICD pipeline   Basically  re new industry  get gain lot  Although  depends project re attached 
NCS,1.0,bad,,ll able pick skills self learning complete tasks
NCS,5.0,good,,Given lot opportunity share knowledge expertise  team working great  people met friendly 
NCS,4.0,good,,Great learning opportunity Great career development opportunity Good learning ground
NCS,5.0,good,,Mature organization strong team members well experienced project management  Many opportunities learn grow company 
NCS,4.0,good,,Could get chance explore lot new technologies 
NCS,3.0,neutral,,courses attend workload dependent project
NCS,4.0,good,,Overall good experience rhem
NCS,5.0,good,good_culture, Friendly team  Solid team  Open communication  new office  Overall company culture good 
NCS,3.0,neutral,,good opportunity chance manage team grow
NCS,5.0,good,,company living kampung spirit
NCS,5.0,good,,company growing rapidly  expanding region  translate many opportunity regional exchange work opportunity people  Current CEO pushing lot changes improvement company see big change  good way  way things since joined 3 years back 
NCS,4.0,good,,Good  kampungspirit team members 
NCS,3.0,neutral,,Good bonus training opportunities depending boss
NCS,4.0,good,,Good PM Work life balance
