Name,Star Rating,Sentiment,Culture,Filtered Pros
SAP,5.0,good,,Good work life balance Employee benefits great
SAP,5.0,good,,Employees choose work home office time
SAP,5.0,good,,Experience handsontraining Great team
SAP,3.0,neutral,good_culture,Helpful team mates  good culture meaningful work 
SAP,5.0,good,good_culture,Good people  culture WLB 
SAP,4.0,good,,Friendly environment willingness teach
SAP,5.0,good,,Strategy Diversity inclusion
SAP,1.0,bad,bad_culture,job guess
SAP,5.0,good,,Lovely team meaningful work
SAP,4.0,good,,Good welfare Good compensation Experienced colleagues leaders Opportunity internal transfer
SAP,2.0,bad,,great benefit  flexible  good mummies
SAP,4.0,good,,Great team good benefits
SAP,4.0,good,,Good company  stable lots perks
SAP,4.0,good,,Great platform learn  grow accelerate career Technology  Compensation great  people helpful 
SAP,4.0,good,,strong branding market
SAP,5.0,good,good_culture,Good work life balance Nice culture Nice people Invest employee growth
SAP,2.0,bad,,Good lifestyle  compensation benefits 
SAP,4.0,good,,people engagement mental health
SAP,5.0,good,,Great colleague  Flexible working environment 
SAP,4.0,good,good_culture,good culture good tech
SAP,4.0,good,,Good place start career
SAP,2.0,bad,,Good companybrand  good salary  think reason people stay long 
SAP,5.0,good,good_culture, great culture  great benefits  flexible company Ive ever worked heard  good opportunities grow personally job
SAP,5.0,good,,Good work life balance  great benefits 
SAP,5.0,good,good_culture,Good working culture employees
SAP,3.0,neutral,,Mid upper management finance usually promoted internally rather parachuted elsewhere  theoretically endless lateral movement possibility within finance operations 
SAP,5.0,good,,SMB market easier sell get great experience business cycles
SAP,4.0,good,,Getting cloud space  valueselling OP customers
SAP,5.0,good,good_culture,Great culture  family oriented  collaborative
SAP,5.0,good,,Work life balance  benefits  nice working environment regional roles
SAP,5.0,good,,people process
SAP,4.0,good,,flexible good benefits  safe environment
SAP,5.0,good,,Compensation fair  benefits market rate
SAP,4.0,good,good_culture, Great culture within across teams  Worklife balance greatly respected colleagues managers
SAP,4.0,good,good_culture,Cohesive environment  excellent culture work life balance
SAP,5.0,good,good_culture,Forward looking people culture drives self motivation Great company benefits
SAP,4.0,good,good_culture,great company culture relatively WLB
SAP,5.0,good,,Working SAP strong point future  since SAP product always well designed  well used well known companies 
SAP,4.0,good,,Work life balance  benefits  pros working big company
SAP,4.0,good,,environment good balanced
SAP,5.0,good,,Great company work around
